arrive	20
art	20
arteries	340
artery	500
artistic	40
as-is	20
ascends	20
ascii	40
ask	20
aspinwall	260
assessed	40
assumes	20
assuming	80
at	8420
atlas	40
atlases	20
attach	40
attaching	20
attainment	40
attempt	40
attendant	20
attract	20
attractive	240
attributes	20
aug	160
august	20
austrian	20
author	20
authorities	20
authority	120
authorized	100
auto	40
automatic	20
automobile	20
available	440
avalon	40
avenue--a	40
avenue--center	120
avenue--leads	20
avenue--northerly	80
avenue--the	40
avenues	500
average	380
avoid	180
avoiding	40
avone	20
awarding	20
away--you	20
awnings	20
axial	20
axis	20
back	380
back-pressure	20
back-water	20
bad	160
baffling	20
baker	20
balancing	20
baldwin	60
baltimore	660
band	40
baneful	20
banks	280
banksville	40
barge	60
barrier	20
based	200
basement	80
basketball	20
bates	180
baum	120
bayard	20
be	15640
beatty	40
beautiful	120
beaver	40
become	400
bed	40
beelen	20
before	380
began	40
begin	20
beginning	80
begun	140
being	620
bell	280
below	680
belt	40
ben	60
bend	120
bending	40
beneath	60
benefit	140
bent	20
bern	60
besides	20
beyond	480
bid	20
bigelow	20
bill	100
billquist	80
binary	20
birth	20
bit	20
blame	20
block	160
bloomfield	40
bluff	200
blunders	20
boats	760
boats--low	20
bodily	20
bold	60
bond	100
bonn	20
book	20
borders	40
boroughs	160
boston	80
both	840
bottom	160
bought	20
boulevard._--from	40
boulevards	20
bound-stones	20
bounded	20
bounds	20
box	20
boys	20
bracketed	20
breach	40
break	20
brick	20
bridge	5180
bridge-like	20
bridge._--the	120
bridges_.--_highway	20
bridges|passenger|delivery|single|double	20
briefly	80
brighton	280
brilliant	40
british	20
broadway	120
broke	20
bronx	60
brook	20
brought	60
brownsville	300
brushton	40
builder	20
buildings	1340
builds	20
bureaus	80
busiest	20
busy	140
but	3120
buys	20
by	7780
c	220
called	80
canal	80
canalization	20
canalized	20
cannot	400
canvassing	20
care	80
cared	20
carefully	40
carriages	60
carrick	120
carriers	100
carries	40
carry	320
carrying	200
cars	500
cars--is	20
cases	340
casual	20
cause	40
caused	40
cease	40
celebrated	20
center	1020
central	500
centralized	20
centre	20
cents	20
certainly	100
chainmen	20
chairman	120
champlain	20
chances	20
changes	520
changing	80
channel	220
character	320
characteristic	100
charges	40
charitable	20
charter	20
chartiers	280
charts	40
chas	20
cheap	160
cheapest	20
